DEL NORTE 2E	maxt	mint	pcpn	snow
2016-07-18	88	50	0.00	0.0
2016-07-19	88	50	0.04	0.0
2016-07-20	77	51	T	0.0
2016-07-21	82	51	0.22	0.0
2016-07-22	85	52	0.02	0.0
2016-07-23	81	54	T	0.0
2016-07-24	87	53	0.08	0.0
2016-07-25	82	50	0.00	0.0
2016-07-26	86	53	0.00	0.0
2016-07-27	78	52	0.00	0.0
2016-07-28	86	52	0.00	0.0
2016-07-29	87	49	0.00	0.0
2016-07-30	88	49	0.00	0.0
2016-07-31	75	46	0.00	0.0
2016-08-01	79	53	0.13	0.0
2016-08-02	82	52	0.40	0.0
2016-08-03	82	55	T	0.0
2016-08-04	82	54	0.00	0.0
2016-08-05	74	52	0.40	0.0
2016-08-06	66	53	0.26	0.0
2016-08-07	73	49	0.14	0.0
2016-08-08	77	49	0.00	0.0
2016-08-09	76	47	0.00	0.0
2016-08-10	81	50	0.00	0.0
2016-08-11	81	48	0.11	0.0
2016-08-12	75	49	T	0.0
2016-08-13	79	46	0.00	0.0
2016-08-14	75	45	0.00	0.0
2016-08-15	78	44	0.00	0.0
2016-08-16	80	48	0.00	0.0
2016-08-17	74	46	0.00	0.0
2016-08-18	75	44	0.00	0.0
2016-08-19	72	46	0.31	0.0
2016-08-20	73	42	0.01	0.0
2016-08-21	73	41	0.00	0.0
2016-08-22	75	43	0.00	0.0
2016-08-23	75	43	0.00	0.0
2016-08-24	71	45	0.06	0.0
2016-08-25	64	42	T	0.0
2016-08-26	69	43	0.09	0.0
2016-08-27	67	42	T	0.0
2016-08-28	72	42	0.51	0.0
2016-08-29	70	45	0.08	0.0
2016-08-30	70	42	T	0.0
2016-08-31	71	43	T	0.0
2016-09-01	75	43	T	0.0
2016-09-02	76	46	0.03	0.0
2016-09-03	73	47	0.31	0.0
2016-09-04	76	45	T	0.0
2016-09-05	74	37	0.00	0.0
2016-09-06	77	37	0.00	0.0
2016-09-07	77	41	0.00	0.0
2016-09-08	75	45	0.00	0.0
2016-09-09	80	43	0.00	0.0
2016-09-10	79	37	0.00	0.0
2016-09-11	77	39	0.00	0.0
2016-09-12	72	41	0.03	0.0
2016-09-13	74	38	0.00	0.0
2016-09-14	70	38	T	0.0
2016-09-15	67	37	0.08	0.0
2016-09-16	71	34	0.00	0.0
2016-09-17	72	33	0.00	0.0
2016-09-18	74	33	0.00	0.0
2016-09-19	76	33	0.00	0.0
2016-09-20	80	41	0.00	0.0
2016-09-21	77	45	0.00	0.0
